Projects,median effort complexity
aerubanov/DS_for_Air,382.923211368657
AlessandroVol23/kdd-cup-2019,69.7939875194712
antonkulaga/rna-seq,641.432636212634
arsalanc-v2/mailsense,965.7
bmeg/bmeg-etl,4062063.1235901
BoiseState/bookdata-tools,82486.1728273177
CandelaV/UNHCRs_population_of_concern_HDX,7.75488750216347
DAGsHub/client,184.178578176382
gmrukwa/publication-domain-discernibility,7.75488750216347
jmhsi/lendingclub,17675.8084280052
kaiml/lease-eda,52.2433821349657
kjappelbaum/learn_mof_ox_state,1531.64580028238
MikeG27/BCI_Image_EEG_Generator,1817.06047330178
MIR-MU/regularized-embeddings,264
opt-out-tools/study-online-misogyny,23.2192809488736
phramer/phramer,356.61656266226
piojanu/Planning-in-Imagination,1302.64076431352
shuiblue/INTRUDE-refactor,5.80482023721841
spacy-pl/utils,3705.220547815
src-d/formatml,1337.40611403695
Valentyn1997/xray,7.75488750216347
wildlyclassyprince/data-playground,5.80482023721841
yukw777/yureka,2457.70625211825
deep-projects/pcam-with-dvc-cc,3780.45432191582
deep-projects/pcam-with-dvc-cc-sshfs,3780.45432191582
